name	model	mcode	type	type2	subType	cost	dropLevel	prop1	prop2	prop3	prop4	prop5	
狸猫之恋	g0026_j_dod	4	2	0	0	0	0	0	0	0	0	0
狸猫之恋	g0026_p_dod	8	3	0	0	0	0	0	0	0	0	0
狸猫之恋	g0026_s_dod	16	4	0	0	0	0	0	0	0	0	0
暖冬萌爱	g0027_h_dod	2	1	0	0	0	0	0	0	0	0	0
暖冬萌爱	g0027_jp_dod	12	9	0	0	0	0	0	0	0	0	0
暖冬萌爱	g0027_s_dod	16	4	0	0	0	0	0	0	0	0	0
小妮子	g0028_h_dod	2	1	0	0	0	0	0	0	0	0	0
小妮子	g0028_j_dod	4	2	0	0	0	0	0	0	0	0	0
小妮子	g0028_p_dod	8	3	0	0	0	0	0	0	0	0	0
小妮子	g0028_s_dod	16	4	0	0	0	0	0	0	0	0	0
萌宠之恋	g0029_h_dod	2	1	0	0	0	0	0	0	0	0	0
萌宠之恋	g0029_jp_dod	12	9	0	0	0	0	0	0	0	0	0
萌宠之恋	g0029_s_dod	16	4	0	0	0	0	0	0	0	0	0
彩虹甜心	g0030_p_dod	8	3	0	0	0	0	0	0	0	0	0
彩虹甜心	g0030_s_dod	16	4	0	0	0	0	0	0	0	0	0
蕾丝秀女	g0031_h_dod	2	1	0	0	0	0	0	0	0	0	0
蕾丝秀女	g0031_jp_dod	12	9	0	0	0	0	0	0	0	0	0
蕾丝秀女	g0031_s_dod	16	4	0	0	0	0	0	0	0	0	0
极速美眉	g0032_h_dod	2	1	0	0	0	0	0	0	0	0	0
极速美眉	g0032_jp_dod	12	9	0	0	0	0	0	0	0	0	0
极速美眉	g0032_s_dod	16	4	0	0	0	0	0	0	0	0	0
性感莎拉	g0033_h_dod	2	1	0	0	0	0	0	0	0	0	0
性感莎拉	g0033_j_dod	4	2	0	0	0	0	0	0	0	0	0
性感莎拉	g0033_p_dod	8	3	0	0	0	0	0	0	0	0	0
性感莎拉	g0033_s_dod	16	4	0	0	0	0	0	0	0	0	0
春田花花	g0034_h_dod	2	1	0	0	0	0	0	0	0	0	0
春田花花	g0034_j_dod	4	2	0	0	0	0	0	0	0	0	0
春田花花	g0034_p_dod	8	3	0	0	0	0	0	0	0	0	0
春田花花	g0034_s_dod	16	4	0	0	0	0	0	0	0	0	0
英姿丽人	g0035_h_dod	2	1	0	0	0	0	0	0	0	0	0
英姿丽人	g0035_j_dod	4	2	0	0	0	0	0	0	0	0	0
英姿丽人	g0035_p_dod	8	3	0	0	0	0	0	0	0	0	0
英姿丽人	g0035_s_dod	16	4	0	0	0	0	0	0	0	0	0
冰色倾诉	g0036_h_dod	2	1	0	0	0	0	0	0	0	0	0
冰色倾诉	g0036_j_dod	4	2	0	0	0	0	0	0	0	0	0
冰色倾诉	g0036_p_dod	8	3	0	0	0	0	0	0	0	0	0
冰色倾诉	g0036_s_dod	16	4	0	0	0	0	0	0	0	0	0
浪漫满屋	g0037_h_dod	2	1	0	0	0	0	0	0	0	0	0
浪漫满屋	g0037_j_dod	4	2	0	0	0	0	0	0	0	0	0
浪漫满屋	g0037_p_dod	8	3	0	0	0	0	0	0	0	0	0
浪漫满屋	g0037_s_dod	16	4	0	0	0	0	0	0	0	0	0
宫廷之魅	g0038_h_dod	2	1	0	0	0	0	0	0	0	0	0
宫廷之魅	g0038_jp_dod	12	9	0	0	0	0	0	0	0	0	0
宫廷之魅	g0038_s_dod	16	4	0	0	0	0	0	0	0	0	0
圣洁情侣	g0039_h_dod	2	1	0	0	0	0	3	3	3	0	0
圣洁情侣	g0039_jp_dod	12	9	0	0	0	0	0	0	0	0	0
圣洁情侣	g0039_s_dod	16	4	0	0	0	0	0	0	0	0	0
甜蜜婚礼	g0040_h_dod	2	1	0	0	0	0	0	0	0	0	0
甜蜜婚礼	g0040_jp_dod	12	9	0	0	0	0	0	0	0	0	0
甜蜜婚礼	g0040_s_dod	16	4	0	0	0	0	0	0	0	0	0
圣翼诱惑	g0041_h_dod	2	1	0	0	0	0	0	0	0	0	0
圣翼诱惑	g0041_jp_dod	12	9	0	0	0	0	0	0	0	0	0
圣翼诱惑	g0041_s_dod	16	4	0	0	0	0	0	0	0	0	0
浣花月人	g0042_h_dod	2	1	0	0	0	0	2	2	-2	2	0
浣花月人	g0042_j_dod	4	2	0	0	0	0	0	0	0	0	0
浣花月人	g0042_p_dod	8	3	0	0	0	0	0	0	0	0	0
浣花月人	g0042_s_dod	16	4	0	0	0	0	0	0	0	0	0
街头时尚	g0043_h_dod	2	1	0	0	0	0	0	0	0	0	0
靓丽丫丫（白）	g0043_j_dod	4	2	0	0	0	0	0	0	0	0	0
学院潮流（橘红）	g0043_p_dod	8	3	0	0	0	0	0	0	0	0	0
随意心情	g0043_s_dod	16	4	0	0	0	0	0	0	0	0	0
街头时尚（紫）	g0044_h_dod	2	1	0	0	0	0	0	0	0	0	0
靓丽丫丫	g0044_j_dod	4	2	0	0	0	0	0	0	0	0	0
学院潮流	g0044_p_dod	8	3	0	0	0	0	0	0	0	0	0
蓝色恋曲	g0045_h_dod	2	1	0	0	0	0	0	0	0	0	0
蓝色恋曲	g0045_j_dod	4	2	0	0	0	0	0	0	0	0	0
蓝色恋曲	g0045_p_dod	8	3	0	0	0	0	0	0	0	0	0
蓝色恋曲	g0045_s_dod	16	4	0	0	0	0	0	0	0	0	0
橘色恋曲	g0046_h_dod	2	1	0	0	0	0	1	2	-2	-2	0
橘色恋曲	g0046_j_dod	4	2	0	0	0	0	0	0	0	0	0
橘色恋曲	g0046_p_dod	8	3	0	0	0	0	0	0	0	0	0
橘色恋曲	g0046_s_dod	16	4	0	0	0	0	0	0	0	0	0
熟女风情	g0047_j_dod	4	2	0	0	0	0	0	0	0	0	0
熟女风情	g0047_p_dod	8	3	0	0	0	0	0	0	0	0	0
魅惑豹纹	g0048_h_dod	2	1	0	0	0	0	0	0	0	0	0
魅惑豹纹	g0048_j_dod	4	2	0	0	0	0	0	0	0	0	0
魅惑豹纹	g0048_p_dod	8	3	0	0	0	0	0	0	0	0	0
魅惑豹纹	g0048_s_dod	16	4	0	0	0	0	0	0	0	0	0
炫彩之恋	g0049_h_dod	2	1	0	0	0	0	0	0	0	0	0
炫彩之恋	g0049_j_dod	4	2	0	0	0	0	0	0	0	0	0
炫彩之恋	g0049_p_dod	8	3	0	0	0	0	0	0	0	0	0
炫彩之恋	g0049_s_dod	16	4	0	0	0	0	0	0	0	0	0
酷炫美眉	g0050_h_dod	2	1	0	0	0	0	0	0	0	0	0
酷炫美眉	g0050_j_dod	4	2	0	0	0	0	0	0	0	0	0
酷炫美眉	g0050_p_dod	8	3	0	0	0	0	0	0	0	0	0
酷炫美眉	g0050_s_dod	16	4	0	0	0	0	0	0	0	0	0
星条时尚	g0051_h_dod	2	1	0	0	0	0	0	0	0	0	0
星条时尚	g0051_j_dod	4	2	0	0	0	0	0	0	0	0	0
星条时尚	g0051_p_dod	8	3	0	0	0	0	0	0	0	0	0
星条时尚	g0051_s_dod	16	4	0	0	0	0	0	0	0	0	0
静雅如初	g0052_j_dod	4	2	0	0	0	0	0	0	0	0	0
柠檬诱惑	g0052_p_dod	8	3	0	0	0	0	0	0	0	0	0
静雅如初（蓝）	g0053_j_dod	4	2	0	0	0	0	0	0	0	0	0
简约之风	g0053_p_dod	8	3	0	0	0	0	0	0	0	0	0
红色风尚	g0054_h_dod	2	1	0	0	0	0	0	0	0	0	0
红色风尚	g0054_j_dod	4	2	0	0	0	0	0	0	0	0	0
红色风尚	g0054_p_dod	8	3	0	0	0	0	0	0	0	0	0
红色风尚	g0054_s_dod	16	4	0	0	0	0	0	0	0	0	0
纯纯的爱	g0055_jp_dod	12	9	0	0	0	0	0	0	0	0	0
火红的爱	g0056_jp_dod	12	9	0	0	0	0	0	0	0	0	0
时尚潮流	g0057_p_dod	8	3	0	0	0	0	0	0	0	0	0
时尚潮流	g0057_s_dod	16	4	0	0	0	0	0	0	0	0	0
糖果诱惑	g0058_h_dod	2	1	0	0	0	0	0	0	0	0	0
糖果诱惑	g0058_jp_dod	12	9	0	0	0	0	0	0	0	0	0
糖果诱惑	g0058_s_dod	16	4	0	0	0	0	0	0	0	0	0
粉馨少女	g0059_h_dod	2	1	0	0	0	0	0	0	0	0	0
粉馨少女	g0059_j_dod	4	2	0	0	0	0	0	0	0	0	0
粉馨少女	g0059_p_dod	8	3	0	0	0	0	0	0	0	0	0
粉馨少女	g0059_s_dod	16	4	0	0	0	0	0	0	0	0	0
青涩夜影	g0060_h_dod	2	1	0	0	0	0	0	0	0	0	0
青涩夜影	g0060_j_dod	4	2	0	0	0	0	0	0	0	0	0
青涩夜影	g0060_p_dod	8	3	0	0	0	0	0	0	0	0	0
青涩夜影	g0060_s_dod	16	4	0	0	0	0	0	0	0	0	0
舞魅夜影	g0061_h_dod	2	1	0	0	0	0	0	0	0	0	0
舞魅夜影	g0061_j_dod	4	2	0	0	0	0	0	0	0	0	0
舞魅夜影	g0061_p_dod	8	3	0	0	0	0	0	0	0	0	0
舞魅夜影	g0061_s_dod	16	4	0	0	0	0	0	0	0	0	0
晴空花影	g0062_h_dod	2	1	0	0	0	0	0	0	0	0	0
晴空花影	g0062_jp_dod	12	9	0	0	0	0	0	0	0	0	0
晴空花影	g0062_s_dod	16	4	0	0	0	0	0	0	0	0	0
清夏光影	g0063_h_dod	2	1	0	0	0	0	0	0	0	0	0
清夏光影	g0063_j_dod	4	2	0	0	0	0	0	0	0	0	0
清夏光影	g0063_p_dod	8	3	0	0	0	0	0	0	0	0	0
清夏光影	g0063_s_dod	16	4	0	0	0	0	0	0	0	0	0
初夏爱恋	g0064_h_dod	2	1	0	0	0	0	0	0	0	0	0
初夏爱恋	g0064_j_dod	4	2	0	0	0	0	0	0	0	0	0
初夏爱恋	g0064_p_dod	8	3	0	0	0	0	0	0	0	0	0
初夏爱恋	g0064_s_dod	16	4	0	0	0	0	0	0	0	0	0
蓝纹夏影	g0065_j_dod	4	2	0	0	0	0	0	0	0	0	0
蓝纹夏影	g0065_p_dod	8	3	0	0	0	0	0	0	0	0	0
白丽清梦	g0066_s_dod	16	4	0	0	0	0	0	0	0	0	0
海绵宝宝	g0067_h_dod	2	1	0	0	0	0	0	0	0	0	0
海绵宝宝	g0067_j_dod	4	2	0	0	0	0	0	0	0	0	0
海绵宝宝	g0067_p_dod	8	3	0	0	0	0	0	0	0	0	0
海绵宝宝	g0067_s_dod	16	4	0	0	0	0	0	0	0	0	0
诱惑情人	g0068_h_dod	2	1	0	0	0	0	0	0	0	0	0
诱惑情人	g0068_j_dod	4	2	0	0	0	0	0	0	0	0	0
诱惑情人	g0068_p_dod	8	3	0	0	0	0	0	0	0	0	0
诱惑情人	g0068_s_dod	16	4	0	0	0	0	0	0	0	0	0
蓝梦心音	g0069_h_dod	2	1	0	0	0	0	0	0	0	0	0
蓝梦心音	g0069_jp_dod	12	9	0	0	0	0	0	0	0	0	0
蓝梦心音	g0069_s_dod	16	4	0	0	0	0	0	0	0	0	0
提拉米苏	g0070_h_dod	2	1	0	0	0	0	0	0	0	0	0
提拉米苏	g0070_j_dod	4	2	0	0	0	0	0	0	0	0	0
提拉米苏	g0070_p_dod	8	3	0	0	0	0	0	0	0	0	0
提拉米苏	g0070_s_dod	16	4	0	0	0	0	0	0	0	0	0
世纪之恋	g0071_h_dod	2	1	0	0	0	0	0	0	0	0	0
世纪之恋	g0071_jp_dod	12	9	0	0	0	0	0	0	0	0	0
世纪之恋	g0071_s_dod	16	4	0	0	0	0	0	0	0	0	0
星夜婚礼	g0072_h_dod	2	1	0	0	0	0	0	0	0	0	0
星夜婚礼	g0072_jp_dod	12	9	0	0	0	0	0	0	0	0	0
星夜婚礼	g0072_s_dod	16	4	0	0	0	0	0	0	0	0	0
金色琴弦	g0073_h_dod	2	1	0	0	0	0	0	0	0	0	0
金色琴弦	g0073_j_dod	4	2	0	0	0	0	0	0	0	0	0
金色琴弦	g0073_p_dod	8	3	0	0	0	0	0	0	0	0	0
金色琴弦	g0073_s_dod	16	4	0	0	0	0	0	0	0	0	0
凹凸曼之爱	g0074_h_dod	2	1	0	0	0	0	0	0	0	0	0
凹凸曼之爱	g0074_jps_dod	28	9	0	0	0	0	0	0	0	0	0
多摩宝贝	g0075_h_dod	2	1	0	0	0	0	0	0	0	0	0
多摩宝贝	g0075_j_dod	4	2	0	0	0	0	0	0	0	0	0
多摩宝贝	g0075_p_dod	8	3	0	0	0	0	0	0	0	0	0
多摩宝贝	g0075_s_dod	16	4	0	0	0	0	0	0	0	0	0
阳光恋语	g0076_h_dod	2	1	0	0	0	0	0	0	0	0	0
阳光恋语	g0076_j_dod	4	2	0	0	0	0	0	0	0	0	0
阳光恋语	g0076_p_dod	8	3	0	0	0	0	0	0	0	0	0
阳光恋语	g0076_s_dod	16	4	0	0	0	0	0	0	0	0	0
轻舞鸿歌	g0077_h_dod	2	1	0	0	0	0	0	0	0	0	0
轻舞鸿歌	g0077_jp_dod	12	9	0	0	0	0	0	0	0	0	0
轻舞鸿歌	g0077_s_dod	16	4	0	0	0	0	0	0	0	0	0
萌爱小恐龙	g0078_hjps_dod	30	9	0	0	0	0	0	0	0	0	0
条纹青蛙情侣	g0079_h_dod	2	1	0	0	0	0	0	0	0	0	0
条纹青蛙情侣	g0079_jps_dod	28	9	0	0	0	0	0	0	0	0	0
粉色恋语	g0080_h_dod	2	1	0	0	0	0	0	0	0	0	0
粉色恋语	g0080_jp_dod	12	9	0	0	0	0	0	0	0	0	0
粉色恋语	g0080_s_dod	16	4	0	0	0	0	0	0	0	0	0
浪漫圣诞夜	g0081_h_dod	2	1	0	0	0	0	0	0	0	0	0
浪漫圣诞夜	g0081_jp_dod	12	9	0	0	0	0	0	0	0	0	0
浪漫圣诞夜	g0081_s_dod	16	4	0	0	0	0	0	0	0	0	0
甜蜜草莓	g0082_h_dod	2	1	0	0	0	0	0	0	0	0	0
甜蜜草莓	g0082_jp_dod	12	9	0	0	0	0	0	0	0	0	0
甜蜜草莓	g0082_s_dod	16	4	0	0	0	0	0	0	0	0	0
庆余年	g0083_h_dod	2	1	0	0	0	0	0	0	0	0	0
庆余年	g0083_jp_dod	12	9	0	0	0	0	0	0	0	0	0
庆余年	g0083_s_dod	16	4	0	0	0	0	0	0	0	0	0
字母恋人	g0084_h_dod	2	1	0	0	0	0	0	0	0	0	0
字母恋人	g0084_j_dod	4	2	0	0	0	0	0	0	0	0	0
字母恋人	g0084_p_dod	8	3	0	0	0	0	0	0	0	0	0
字母恋人	g0084_s_dod	16	4	0	0	0	0	0	0	0	0	0
月儿兔	g0085_hjps_dod	30	9	0	0	0	0	0	0	0	0	0
嘟嘟印记	g0086_h_dod	2	1	0	0	0	0	0	0	0	0	0
嘟嘟印记	g0086_j_dod	4	2	0	0	0	0	0	0	0	0	0
嘟嘟印记	g0086_p_dod	8	3	0	0	0	0	0	0	0	0	0
嘟嘟印记	g0086_s_dod	16	4	0	0	0	0	0	0	0	0	0
轻羽夜舞	g0087_h_dod	2	1	0	0	0	0	0	0	0	0	0
轻羽夜舞	g0087_jps_dod	28	9	0	0	0	0	0	0	0	0	0
大嘴娃娃	g0088_h_dod	2	1	0	0	0	0	0	0	0	0	0
大嘴娃娃	g0088_j_dod	4	2	0	0	0	0	0	0	0	0	0
大嘴娃娃	g0088_p_dod	8	3	0	0	0	0	0	0	0	0	0
大嘴娃娃	g0088_s_dod	16	4	0	0	0	0	0	0	0	0	0
喜庆年华	g0089_h_dod	2	1	0	0	0	0	0	0	0	0	0
喜庆年华	g0089_jp_dod	12	9	0	0	0	0	0	0	0	0	0
喜庆年华	g0089_s_dod	16	4	0	0	0	0	0	0	0	0	0
麋鹿天使	g0090_h_dod	2	1	0	0	0	0	0	0	0	0	0
麋鹿天使	g0090_j_dod	4	2	0	0	0	0	0	0	0	0	0
麋鹿天使	g0090_p_dod	8	3	0	0	0	0	0	0	0	0	0
麋鹿天使	g0090_s_dod	16	4	0	0	0	0	0	0	0	0	0
喜庆娃娃	g0091_h_dod	2	1	0	0	0	0	0	0	0	0	0
喜庆娃娃	g0091_jp_dod	12	9	0	0	0	0	0	0	0	0	0
喜庆娃娃	g0091_s_dod	16	4	0	0	0	0	0	0	0	0	0
幻羽天使	g0092_h_dod	2	1	0	0	0	0	0	0	0	0	0
幻羽天使	g0092_jp_dod	12	9	0	0	0	0	0	0	0	0	0
幻羽天使	g0092_s_dod	16	4	0	0	0	0	0	0	0	0	0
紫晶之恋	g0093_h_dod	2	1	0	0	0	0	0	0	0	0	0
紫晶之恋	g0093_j_dod	4	2	0	0	0	0	0	0	0	0	0
紫晶之恋	g0093_p_dod	8	3	0	0	0	0	0	0	0	0	0
紫晶之恋	g0093_s_dod	16	4	0	0	0	0	0	0	0	0	0
浪漫梦樱花	g0094_h_dod	2	1	0	0	0	0	0	0	0	0	0
浪漫梦樱花	g0094_jp_dod	12	9	0	0	0	0	0	0	0	0	0
浪漫梦樱花	g0094_s_dod	16	4	0	0	0	0	0	0	0	0	0
千年之恋	g0095_h_dod	2	1	0	0	0	0	0	0	0	0	0
千年之恋	g0095_jps_dod	28	9	0	0	0	0	0	0	0	0	0
荧光之恋	g0096_h_dod	2	1	0	0	0	0	0	0	0	0	0
荧光之恋	g0096_jp_dod	12	9	0	0	0	0	0	0	0	0	0
荧光之恋	g0096_s_dod	16	4	0	0	0	0	0	0	0	0	0
西部少女	g0097_h_dod	2	1	0	0	0	0	0	0	0	0	0
西部少女	g0097_j_dod	4	2	0	0	0	0	0	0	0	0	0
西部少女	g0097_p_dod	8	3	0	0	0	0	0	0	0	0	0
西部少女	g0097_s_dod	16	4	0	0	0	0	0	0	0	0	0
蜜糖恋人	g0098_h_dod	2	1	0	0	0	0	0	0	0	0	0
蜜糖恋人	g0098_j_dod	4	2	0	0	0	0	0	0	0	0	0
蜜糖恋人	g0098_p_dod	8	3	0	0	0	0	0	0	0	0	0
蜜糖恋人	g0098_s_dod	16	4	0	0	0	0	0	0	0	0	0
伊人之梦	g0099_h_dod	2	1	0	0	0	0	0	0	0	0	0
伊人之梦	g0099_j_dod	4	2	0	0	0	0	0	0	0	0	0
伊人之梦	g0099_p_dod	8	3	0	0	0	0	0	0	0	0	0
伊人之梦	g0099_s_dod	16	4	0	0	0	0	0	0	0	0	0
风华戏梦	g0100_h_dod	2	1	0	0	0	0	0	0	0	0	0
风华戏梦	g0100_j_dod	4	2	0	0	0	0	0	0	0	0	0
风华戏梦	g0100_p_dod	8	3	0	0	0	0	0	0	0	0	0
风华戏梦	g0100_s_dod	16	4	0	0	0	0	0	0	0	0	0
黑色幽默	g0101_h_dod	2	1	0	0	0	0	0	0	0	0	0
黑色幽默	g0101_j_dod	4	2	0	0	0	0	0	0	0	0	0
黑色幽默	g0101_p_dod	8	3	0	0	0	0	0	0	0	0	0
黑色幽默	g0101_s_dod	16	4	0	0	0	0	0	0	0	0	0
时尚宠儿	g0102_h_dod	2	1	0	0	0	0	0	0	0	0	0
时尚宠儿	g0102_j_dod	4	2	0	0	0	0	0	0	0	0	0
时尚宠儿	g0102_p_dod	8	3	0	0	0	0	0	0	0	0	0
时尚宠儿	g0102_s_dod	16	4	0	0	0	0	0	0	0	0	0
瑶花相月	g0103_h_dod	2	1	0	0	0	0	0	0	0	0	0
瑶花相月	g0103_jp_dod	12	9	0	0	0	0	0	0	0	0	0
瑶花相月	g0103_s_dod	16	4	0	0	0	0	0	0	0	0	0
倾城之恋	g0104_h_dod	2	1	0	0	0	0	0	0	0	0	0
倾城之恋	g0104_jp_dod	12	9	0	0	0	0	0	0	0	0	0
倾城之恋	g0104_s_dod	16	4	0	0	0	0	0	0	0	0	0
奢华女巫（黑）	g0105_h_dod	2	1	0	0	0	0	0	0	0	0	0
奢华女巫（黑）	g0105_jp_dod	12	9	0	0	0	0	0	0	0	0	0
奢华女巫（黑）	g0105_s_dod	16	4	0	0	0	0	0	0	0	0	0
乖乖女	g0106_h_dod	2	1	0	0	0	0	0	0	0	0	0
乖乖女	g0106_j_dod	4	2	0	0	0	0	0	0	0	0	0
乖乖女	g0106_p_dod	8	3	0	0	0	0	0	0	0	0	0
乖乖女	g0106_s_dod	16	4	0	0	0	0	0	0	0	0	0
粉饰茶靡	g0107_h_dod	2	1	0	0	0	0	0	0	0	0	0
粉饰茶靡	g0107_j_dod	4	2	0	0	0	0	0	0	0	0	0
粉饰茶靡	g0107_p_dod	8	3	0	0	0	0	0	0	0	0	0
粉饰茶靡	g0107_s_dod	16	4	0	0	0	0	0	0	0	0	0
清清小美	g0108_h_dod	2	1	0	0	0	0	0	0	0	0	0
清清小美	g0108_j_dod	4	2	0	0	0	0	0	0	0	0	0
清清小美	g0108_p_dod	8	3	0	0	0	0	0	0	0	0	0
清清小美	g0108_s_dod	16	4	0	0	0	0	0	0	0	0	0
轻舞飞扬	g0109_h_dod	2	1	0	0	0	0	0	0	0	0	0
轻舞飞扬	g0109_jp_dod	12	9	0	0	0	0	0	0	0	0	0
轻舞飞扬	g0109_s_dod	16	4	0	0	0	0	0	0	0	0	0
香甜水果	g0110_h_dod	2	1	0	0	0	0	0	0	0	0	0
香甜水果	g0110_j_dod	4	2	0	0	0	0	0	0	0	0	0
香甜水果	g0110_p_dod	8	3	0	0	0	0	0	0	0	0	0
香甜水果	g0110_s_dod	16	4	0	0	0	0	0	0	0	0	0
舞女纯情	g0111_h_dod	2	1	0	0	0	0	0	0	0	0	0
舞女纯情	g0111_j_dod	4	2	0	0	0	0	0	0	0	0	0
舞女纯情	g0111_p_dod	8	3	0	0	0	0	0	0	0	0	0
舞女纯情	g0111_s_dod	16	4	0	0	0	0	0	0	0	0	0
梦兰春月	g0112_h_dod	2	1	0	0	0	0	0	0	0	0	0
梦兰春月	g0112_j_dod	4	2	0	0	0	0	0	0	0	0	0
梦兰春月	g0112_p_dod	8	3	0	0	0	0	0	0	0	0	0
梦兰春月	g0112_s_dod	16	4	0	0	0	0	0	0	0	0	0
清夏花影	g0113_h_dod	2	1	0	0	0	0	0	0	0	0	0
清夏花影	g0113_j_dod	4	2	0	0	0	0	0	0	0	0	0
